STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
1871,2010,"MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",NAN,21.5,8,8.1,403,0.8,0.1,12,25,1,58.30837913
1871,2007,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",NAN,22,7.9,7.9,385,2.5,0.25,11,24,1,70.36910609
1871,2006,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",NAN,19.5,7.2,9.01,340.5,4.6,2.955,12,23,0,112.1399488
1884,2010,KALA AMB D/S MARKANDA RIVER,NAN,27,4.8,7.8,599,534.5,3.75,2200,5000,0,4843.018302
1892,2014,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.4,6.5,7.1,92,1,0,155,1342,1,53.29702348
1892,2013,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,27.9,6.5,7.1,56,1,0,30,79,1,50.24874348
1892,2011,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,29.5,6.9,7.4,57,1,1.28,46,409,1,54.21071965
1894,2014,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.1,6.4,7.2,102,1,0,137,1223,1,55.09233043
1894,2013,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,28.3,6.5,7.1,95,1,0,156,212,1,53.07118348
1894,2011,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,30.5,6.5,7.3,64,1,2.6,236,420,1,58.86180348
1980,2012,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,31,2,7.7,3165,32.3,3.44,11498,15173,0,617.5057085
2050,2012,TLAWNG UPSTREAM AIZAWL,MIZORAM,24,6.5,7.4,297,1,0.13,26,438,1,55.52592748
2050,2011,TLAWNG UPSTREAM AIZAWL,MIZORAM,23.4,8.1,7.1,267,1,0.11,2,12,1,41.98588017
